"","feature","anovas.Timepoint DenDF","anovas.Timepoint F value","anovas.Timepoint Mean Sq","anovas.Timepoint NumDF","anovas.Timepoint Pr(>F)","anovas.Timepoint Sum Sq","anovas.Treatment DenDF","anovas.Treatment F value","anovas.Treatment Mean Sq","anovas.Treatment NumDF","anovas.Treatment Pr(>F)","anovas.Treatment Sum Sq","anovas.Treatment:Timepoint DenDF","anovas.Treatment:Timepoint F value","anovas.Treatment:Timepoint Mean Sq","anovas.Treatment:Timepoint NumDF","anovas.Treatment:Timepoint Pr(>F)","anovas.Treatment:Timepoint Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.TimepointD32 2.5 %","coefs.TimepointD32 97.5 %","coefs.TimepointD32 df","coefs.TimepointD32 Estimate","coefs.TimepointD32 Pr(>|t|)","coefs.TimepointD32 Std. Error","coefs.TimepointD32 t value","coefs.Treatmentabx + FMTDNBS 2.5 %","coefs.Treatmentabx + FMTDNBS 97.5 %","coefs.Treatmentabx + FMTDNBS df","coefs.Treatmentabx + FMTDNBS Estimate","coefs.Treatmentabx + FMTDNBS Pr(>|t|)","coefs.Treatmentabx + FMTDNBS Std. Error","coefs.Treatmentabx + FMTDNBS t value","coefs.Treatmentabx + FMTDNBS:TimepointD32 2.5 %","coefs.Treatmentabx + FMTDNBS:TimepointD32 97.5 %","coefs.Treatmentabx + FMTDNBS:TimepointD32 df","coefs.Treatmentabx + FMTDNBS:TimepointD32 Estimate","coefs.Treatmentabx + FMTDNBS:TimepointD32 Pr(>|t|)","coefs.Treatmentabx + FMTDNBS:TimepointD32 Std. Error","coefs.Treatmentabx + FMTDNBS:TimepointD32 t value","anovas.Timepoint Pr(>F).BH","anovas.Treatment Pr(>F).BH","anovas.Treatment:Timepoint Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.TimepointD32 Pr(>|t|).BH","coefs.Treatmentabx + FMTDNBS Pr(>|t|).BH","coefs.Treatmentabx + FMTDNBS:TimepointD32 Pr(>|t|).BH"
"1","p-Cresol synthesis",26.999999999784,0.274465784330327,0.114226354389469,1,0.604625991456151,0.114226354389469,26.9999999998415,0.000169001887379584,7.03347032032093e-05,1,0.98972332018054,7.03347032032093e-05,26.9999999998414,0.19921699565841,0.0829095371650976,1,0.658912851093665,0.0829095371650976,-0.317968096413482,0.637834308417,26.9999999997795,0.159933106001759,0.517428994882343,0.243831624552729,0.655916172871879,-0.434402771896205,0.917305951963883,26.9999999997495,0.241451590033839,0.489789487416463,0.344829990377934,0.700204729203535,-0.595611386756012,0.811291659064638,27.0000000000384,0.107840136154313,0.766123680494384,0.358910433282989,0.300465314334523,-1.19766240277446,0.753361086192008,26.9999999998414,-0.222150658291225,0.658912851093665,0.49771921942339,-0.44633731152393,0.972598625356095,0.98972332018054,0.998513099101581,0.538988536335774,0.843890227642344,0.9437674207816,0.998513099101581
"2","Inositol synthesis",27.0000000002968,0.495369649759623,0.2264692036584,1,0.48756779522986,0.2264692036584,26.9999999996602,0.315623414747552,0.144294232455517,1,0.578883995322357,0.144294232455517,26.9999999996601,0.0268261694824489,0.012264177352899,1,0.871118751382219,0.012264177352899,-0.714338305047739,0.287433826407196,26.9999999997887,-0.213452239320272,0.410914390642823,0.255558811120201,-0.835237252766354,-0.934657901555676,0.482061833155296,26.9999999997342,-0.22629803420019,0.536477837143483,0.361414736670132,-0.626145010812703,-0.633470165771193,0.841098485489061,26.9999999995416,0.103814159858934,0.784668669485091,0.37617238451611,0.275974962894939,-0.936988745015781,1.1078700554883,26.9999999996601,0.0854406552362619,0.871118751382219,0.521657238763996,0.163786963713383,0.972598625356095,0.98972332018054,0.998513099101581,0.513642988303529,0.843890227642344,0.9437674207816,0.998513099101581
"3","Inositol degradation",26.9999999985964,0.00333588017153395,0.00113001886046848,1,0.954367462421405,0.00113001886046848,26.9999999993851,0.0436241635693096,0.0147775474749183,1,0.836122189201912,0.0147775474749183,26.9999999989555,3.53773347143669e-06,1.19839602757547e-06,1,0.998513099101581,1.19839602757547e-06,-1.24091573671214,-0.378599245494733,26.9999999991449,-0.809757491103434,0.0010226090478174,0.219982738973584,-3.68100467737457,-0.596359985543456,0.623139691394174,26.9999999989578,0.0133898529253589,0.965986375856312,0.311102572944423,0.0430399941685821,-0.587331538100092,0.681963968820406,26.9999999991938,0.047316215360157,0.884908029501681,0.323805824222419,0.146125275769147,-0.880942672676559,0.879253494214946,26.9999999989555,-0.000844589230806861,0.998513099101581,0.44903788558762,-0.00188088635261057,0.987169164072705,0.98972332018054,0.998513099101581,0.00333983442060787,0.9661430172508,0.961856553806175,0.998513099101581
"4","Quinolinic acid degradation",27.0000000002154,0.000263457147822748,3.11709266373015e-05,1,0.987169164072705,3.11709266373015e-05,27.0000000002154,0.212579139488003,0.0251512962026725,1,0.648446008650907,0.0251512962026725,27.0000000002153,0.601920536389482,0.0712162149948761,1,0.444589258216957,0.0712162149948761,0.462786825130724,0.972409719712712,27.0000000001966,0.717598272421718,7.56686806755379e-06,0.130008229386312,5.51963730149278,-0.461148972976193,0.259566636237488,27.0000000001982,-0.100791168369352,0.58806097886681,0.183859401218235,-0.548196979330508,-0.416839149336105,0.333305440156215,27.0000000002796,-0.0417668545899449,0.828871409499481,0.191366932099101,-0.218255338745335,-0.314241902287821,0.726021475183887,27.0000000002153,0.205889786448033,0.444589258216957,0.265378186965978,0.775835379696932,0.987169164072705,0.98972332018054,0.998513099101581,3.15286169481408e-05,0.843890227642344,0.9437674207816,0.998513099101581
"5","Propionate synthesis III",14.4805802457697,0.209643221040511,0.0570448717062661,1,0.653842449885133,0.0570448717062661,14.9923460580657,1.93301203563948,0.52598134598597,1,0.184725938652961,0.52598134598597,14.4805802502728,0.377860237239981,0.102817485102887,1,0.548288724656426,0.102817485102887,-0.678475961892465,0.136703303717747,26.8841266371616,-0.270886329087359,0.203758912624459,0.207957715560143,-1.30260292751204,-0.332587127187303,0.768467492185038,13.7434610107708,0.217940182498868,0.450953589922019,0.280886441806411,0.77590139665436,-0.167788191339578,1.03173132793647,26.9287447217252,0.431971568298447,0.169505135514328,0.306005500289216,1.41164641776104,-1.04631434650458,0.546697993012803,14.4805802502728,-0.24980817674589,0.548288724656426,0.406388166334398,-0.614703373376119,0.972598625356095,0.98972332018054,0.998513099101581,0.299645459741852,0.843890227642344,0.777227792615257,0.998513099101581
"6","Isovaleric acid synthesis I (KADH pathway)",27.0000000002548,0.109406597793522,0.058647625259765,1,0.743373961353137,0.058647625259765,27.0000000007977,1.37682742078953,0.738051088785564,1,0.250889884328248,0.738051088785564,27.0000000002548,3.17891073164863,1.70406144678611,1,0.0858423651774377,1.70406144678611,-0.728966215464464,0.355790945824761,27.0000000002461,-0.186587634819852,0.50587744835476,0.276728850592575,-0.674261590073826,-1.17718683354811,0.356891455828447,27.000000000246,-0.410147688859833,0.303919393329391,0.391353693607937,-1.04802304298864,-1.63333213025949,-0.0366128225023128,27.0000000002615,-0.834972476380901,0.05020648846397,0.407333838874565,-2.04984805261422,-0.0999899557914998,2.11426132753229,27.0000000002548,1.0071356858704,0.0858423651774377,0.564870400882242,1.78295000817427,0.972598625356095,0.98972332018054,0.803408236030983,0.538988536335774,0.843890227642344,0.735259934219424,0.803408236030983
"7","Isovaleric acid synthesis II (KADC pathway)",15.4207062234662,3.25020558878291,0.881780407732008,1,0.0909890857823751,0.881780407732008,15.8979819404077,0.13505459177243,0.0366402954355166,1,0.7180942106729,0.0366402954355166,15.4207062202611,0.607876863265757,0.164916924083578,1,0.447390042134761,0.164916924083578,-0.126123267475935,0.685548385447081,26.9091259254279,0.279712558985573,0.187991526048873,0.2070628999628,1.35085792305538,-0.342014898237539,0.756995314794635,14.6914250675059,0.207490208278548,0.47091852855793,0.280364899993323,0.740071985771006,-0.835966851084731,0.358430119063568,26.9441670614144,-0.238768366010581,0.440096846527442,0.304698703539848,-0.78362120756236,-0.478710340813183,1.11114902275107,15.4207062202611,0.316219340968946,0.447390042134761,0.405583820954075,0.779664583821631,0.972598625356095,0.98972332018054,0.998513099101581,0.293736759451364,0.843890227642344,0.846340089475851,0.998513099101581
"8","S-Adenosylmethionine (SAM) synthesis",26.999999999913,0.259574372167712,0.0545943119340071,1,0.614551892559246,0.0545943119340071,26.9999999998545,0.466203297916441,0.0980530090800655,1,0.500556049357806,0.0980530090800655,26.9999999998544,0.809834500629168,0.170326357617861,1,0.376125793200934,0.170326357617861,0.642291763645364,1.32176422383817,26.999999999887,0.982027993741765,5.13160688549064e-06,0.173337996400034,5.66539370557516,-0.549530347367108,0.411388821096565,26.9999999999175,-0.0690707631352712,0.780272877749701,0.245136945383507,-0.281763987175465,-0.780077168962781,0.220079211650268,26.9999999999071,-0.279998978656257,0.282155738181448,0.255146622208917,-1.09740421500462,-0.375073976319143,1.01189337513579,26.9999999998544,0.318409699408323,0.376125793200934,0.353824703513726,0.899908051208104,0.972598625356095,0.98972332018054,0.998513099101581,3.15286169481408e-05,0.9661430172508,0.777227792615257,0.998513099101581
"9","Butyrate synthesis I",26.9999999991189,0.468435327597189,0.140670657470235,1,0.499541091284924,0.140670657470235,26.9999999992034,0.201783363441786,0.0605953409780396,1,0.656870313543897,0.0605953409780396,26.9999999992009,0.960435285401241,0.28841774967746,1,0.335777565839688,0.28841774967746,-0.603127725619679,0.208778749650341,26.9999999992679,-0.197174487984669,0.349557673872198,0.207122804723514,-0.95196899369857,-0.222251945549979,0.925957203155419,26.9999999990142,0.35185262880272,0.240102525576682,0.292915879516748,1.20120708164817,-0.295418481758352,0.899675490809638,26.9999999991773,0.302128504525643,0.330490673119513,0.304876513546866,0.990986485022237,-1.24298808926461,0.414309063463019,26.9999999992009,-0.414339512900796,0.335777565839688,0.422787654722276,-0.980018002590382,0.972598625356095,0.98972332018054,0.998513099101581,0.459944307726577,0.843890227642344,0.777227792615257,0.998513099101581
"10","17-beta-Estradiol degradation",27.0000000000297,0.154732554892481,0.0254935602493571,1,0.697142188692021,0.0254935602493571,26.9999999995157,0.0401555403968606,0.00661598129213467,1,0.842678544184409,0.00661598129213467,26.9999999995881,0.946091850769354,0.155877020293331,1,0.339350128497934,0.155877020293331,0.589308864885183,1.19069507233206,26.9999999995613,0.890001968608624,3.57827289010587e-06,0.15341766792414,5.80116997377838,-0.639139441349068,0.21134908944643,26.9999999997912,-0.213895175951319,0.332959622926401,0.216965346685971,-0.985849488033243,-0.626287624599793,0.258928904146654,26.9999999996119,-0.183679360226569,0.42312015165064,0.225824692629284,-0.813371461233867,-0.309182663350977,0.918391792142699,26.9999999995881,0.304604564395861,0.339350128497934,0.313162503284914,0.972672530078523,0.972598625356095,0.98972332018054,0.998513099101581,3.15286169481408e-05,0.843890227642344,0.846340089475851,0.998513099101581
"11","Butyrate synthesis II",14.6195371948454,0.142561879671873,0.0522310084247107,1,0.711172397189884,0.0522310084247107,15.5309687059147,0.000799986048954531,0.00029309432618851,1,0.97779587499403,0.00029309432618851,14.619537195569,3.15698831269342,1.15663937327796,1,0.0964089883237179,1.15663937327796,-1.13491171733726,-0.144673303312377,26.6474322474158,-0.63979251032482,0.0175291267338641,0.252616482199612,-2.53266336683158,-0.310092548261995,0.975091783453697,13.8962475607384,0.332499617595851,0.3278426483648,0.327859170335032,1.01415378211345,-0.31361986929098,1.14243736970605,26.7799383324464,0.414408750207534,0.274482786163448,0.37144999869442,1.11565150535498,-1.775948967375,0.0870554255572334,14.619537195569,-0.844446770908886,0.0964089883237179,0.475264955791887,-1.77679157829314,0.972598625356095,0.98972332018054,0.803408236030983,0.033934468327773,0.843890227642344,0.777227792615257,0.803408236030983
"12","Quinolinic acid synthesis",26.9999999992359,0.0757096085514188,0.0164163999300233,1,0.78529280371202,0.0164163999300233,26.9999999992359,0.338825072599941,0.0734687182320079,1,0.565337477000396,0.0734687182320079,26.9999999992358,0.0178995254748823,0.00388122160945713,1,0.894561595755315,0.00388122160945713,-0.227148743524161,0.462761396621093,26.9999999993687,0.117806326548466,0.508955138315595,0.176000718785441,0.669351394479707,-0.414381733172191,0.561298543839949,26.9999999993409,0.0734584053338787,0.770152830183167,0.248902603493784,0.295129115978545,-0.379167334059097,0.636352895443838,26.9999999992755,0.128592780692371,0.62365000726628,0.259066043435805,0.496370651232164,-0.752201658260585,0.656071518179335,26.9999999992358,-0.0480650700406251,0.894561595755315,0.359259962822837,-0.133789108207216,0.972598625356095,0.98972332018054,0.998513099101581,0.538988536335774,0.9661430172508,0.917132363626882,0.998513099101581
